engine,cylinders,fuel,transmission,body
23,6.0,4,19,6
66,6.0,4,19,6
48,8.0,4,32,6
13,8.0,4,19,6
19,6.0,0,9,5
25,6.0,4,33,6
23,6.0,4,19,6
31,8.0,0,3,5
9,4.0,5,9,6
71,6.0,4,32,6
8,4.0,4,19,6
92,6.0,0,32,5
16,4.0,4,21,5
71,6.0,4,32,6
72,4.0,3,1,6
16,4.0,4,21,5
25,6.0,4,33,6
8,4.0,4,3,6
37,4.0,4,15,6
37,4.0,4,22,7
92,6.0,0,32,5
9,4.0,5,9,6
14,4.0,4,19,6
37,4.0,4,32,6
14,4.0,4,19,5
8,4.0,4,3,6
58,4.0,4,19,6
25,6.0,4,28,4
72,4.0,3,1,6
13,8.0,4,32,5
25,6.0,4,33,6
27,6.0,2,32,0
9,4.0,5,19,6
72,4.0,3,32,6
37,4.0,4,22,7
72,4.0,3,1,6
10,8.0,4,32,5
11,4.0,4,33,6
21,6.0,4,28,6
37,4.0,4,32,6
92,6.0,0,32,5
84,4.0,4,32,6
9,4.0,5,19,6
7,4.0,5,19,6
24,6.0,4,3,6
8,4.0,4,19,6
13,8.0,4,19,6
8,4.0,4,33,6
85,4.0,4,24,6
72,4.0,3,1,6
72,4.0,3,32,6
37,4.0,4,22,7
7,4.0,5,9,7
73,4.0,3,1,6
13,8.0,4,19,6
36,4.0,4,9,6
8,4.0,4,28,6
35,4.0,5,32,6
37,4.0,4,32,6
28,6.0,4,3,6
9,4.0,5,9,6
8,4.0,4,19,6
72,4.0,3,1,6
25,6.0,4,19,6
97,4.0,4,32,6
22,6.0,4,19,6
8,4.0,4,19,6
65,6.0,5,3,5
72,4.0,3,1,6
33,4.0,4,34,6
2,3.0,4,9,6
24,6.0,4,3,6
89,3.0,4,32,6
23,6.0,4,19,6
89,3.0,4,32,6
87,6.0,4,32,6
38,4.0,4,19,6
24,6.0,4,3,6
19,6.0,0,32,5
13,8.0,4,19,6
25,6.0,4,33,6
48,8.0,4,32,6
89,3.0,4,32,6
9,4.0,5,9,6
66,6.0,4,19,6
8,4.0,4,19,6
72,4.0,3,1,7
2,3.0,4,9,6
25,6.0,4,19,6
14,4.0,4,19,7
19,6.0,0,9,5
8,4.0,4,28,6
23,6.0,4,19,6
8,4.0,4,3,5
94,6.0,4,32,6
63,6.0,0,32,5
85,4.0,4,13,6
19,6.0,0,32,5
19,6.0,0,9,5
59,4.0,6,32,6
72,4.0,3,1,6
9,4.0,5,9,6
8,4.0,4,19,5
10,8.0,4,32,5
8,4.0,4,32,5
25,6.0,4,19,7
10,8.0,4,32,5
5,4.0,0,28,0
85,4.0,4,32,6
7,4.0,5,33,6
72,4.0,3,32,7
9,4.0,5,9,6
58,4.0,4,19,6
14,4.0,4,19,6
85,4.0,4,32,6
